SOURCE,TARGET,TYPE,WEIGHT
Gray Aqua Group Ltd.,Université de Laval,undirected,1
"Department of Natural Resources, NB",Fisheries and Oceans Canada,undirected,1
Mac’s Oysters Ltd.,Nelson Island Sea Farms Ltd.,undirected,1
Institut des sciences de la mer de Rimouski,Université du Québec à Chicoutimi,undirected,1
Ressources Aquatiques Québec ,Université du Québec à Rimouski,undirected,1
La Société de développement de l’industrie maricole,MERINOV,undirected,1
Cermaq Canada,North Island College,undirected,4
Kelly Cove Salmon Ltd.,University of Moncton,undirected,1
NOAA,Wilfrid Laurier University,undirected,1
Grande-Entrée Aquaculture Inc.,Université du Québec à Rimouski,undirected,1
"Centre for Applied Research, Technology, and Innovation",University of Victoria,undirected,1
Havforskningsinstituttet,University of Guelph,undirected,2
Fan Seafoods Ltd.,University of British Columbia,undirected,1
Fisheries and Oceans Canada,Kyuquot SEAfoods Ltd.,undirected,4
"Department of Natural Resources, NB",Entreprise Baie Acadienne Ltd.,undirected,1
Grieg Seafood,Mac’s Oysters Ltd.,undirected,1
Cooke Aquaculture Inc.,Parks Canada,undirected,1
Fisheries and Oceans Canada,Norlantic Processors Ltd.,undirected,2
Fisheries and Oceans Canada,"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation Québec",undirected,1
Mac’s Oysters Ltd.,Microthalassia Consultants Inc.,undirected,1
Nofima,Université du Québec à Rimouski,undirected,1
Fort Folly First Nations,Huntsman Marine Science Centre,undirected,1
Eastern Charlotte Waterways,University of Alabama,undirected,1
BC Pacific Oyster Ltd.,Dalhousie University,undirected,1
University of Guelph,University of New Brunswick Saint John,undirected,1
Marine Harvest Canada,Nelson Island Sea Farms Ltd.,undirected,1
Island Scallops Ltd.,Marine Harvest Canada,undirected,1
Fisheries and Oceans Canada,Mac’s Oysters Ltd.,undirected,2
Canada Cryogenetics Services,Huntsman Marine Science Centre,undirected,1
University of Victoria,Vancouver Island University - Centre for Shellfish Research,undirected,1
Atlantic Veterinary College,"PEI Department of Fisheries, Aquaculture and Rural Development",undirected,2
Eskasoni Fish and Wildlife Commission,Fisheries and Oceans Canada,undirected,1
Cooke Aquaculture Inc.,Genome Atlantic,undirected,1
Island Telemetrics,North Island College,undirected,1
La Société de développement de l’industrie maricole,La moule du large Inc.,undirected,1
Fisheries and Oceans Canada,Newfoundland Cod Broodstock Company,undirected,1
Klahoose First Nation,Pacific Sea Cucumbers Harvesters Association,undirected,1
Grande-Entrée Aquaculture Inc.,Moules de culture des Îles,undirected,1
"Fish, Food and Allied Workers",Fisheries and Oceans Canada,undirected,1
Lakehead University,Queen’s University,undirected,1
Pisciculture des Appalaches,Université Laval,undirected,1
University of British Columbia,Viking Bay Ventures,undirected,1
Dalhousie University,Research and Productivity Council New Brunswick,undirected,1
Fisheries and Oceans Canada,Memorial University of Newfoundland,undirected,3
Institut des sciences de la mer de Rimouski,MNHN,undirected,1
Martin Mills Inc.,University of Guelph,undirected,1
Coastal Zones Research Institute,University of Guelph,undirected,1
University of Guelph,undefined,undirected,2
Cermaq Canada,University of Alberta,undirected,1
Fisheries and Oceans Canada,New Brunswick Research Productivity Council,undirected,1
Cooke Aquaculture Inc.,Huntsman Marine Science Centre,undirected,1
Fisheries and Oceans Canada,Mainstream Canada,undirected,4
Fisheries and Oceans Canada,La Société de développement de l’industrie maricole,undirected,1
Simon Fraser University,University of New Brunswick Saint John,undirected,1
Gulf Aquaculture Association,University of British Columbia,undirected,2
Microthalassia Consultants Inc.,Taylor Shellfish Canada ULC.,undirected,1
Industrial Action Plan of the Interprovincial Partnership for Sustainable Freshwater Aquaculture Development,Université Laval,undirected,1
Contech,Fleming College,undirected,1
Fisheries and Oceans Canada,Simon Fraser University,undirected,1
University of Alberta,undefined,undirected,1
Havforskningsinstituttet,Université de Laval,undirected,1
Klahoose First Nation,University of British Columbia,undirected,1
Gaspé Peninsula lead,La moule du large Inc.,undirected,1
Corporation Larvatria,Quebec Agrifood Development Center,undirected,1
Microthalassia Consultants Inc.,Nelson Island Sea Farms Ltd.,undirected,1
Center for Aquaculture Technologies Canada,National Research Council,undirected,1
Klahoose First Nation,Viking Bay Ventures,undirected,1
Memorial University of Newfoundland,Newfoundland Cod Broodstock Company,undirected,1
Island Telemetrics,Marine Harvest Canada,undirected,1
Simon Fraser University,University of Victoria,undirected,1
BC Pacific Oyster Ltd.,University of British Columbia,undirected,2
Creative Salmon,Nelson Island Sea Farms Ltd.,undirected,1
Fisheries and Oceans Canada,Paragon Fish Corporation,undirected,1
University of Prince Edward Island,undefined,undirected,1
Grande-Entrée Aquaculture Inc.,MERINOV,undirected,2
College of the North Atlantic,undefined,undirected,1
Eastern Charlotte Waterways,Northern Harvest Sea Farms,undirected,1
Ecoethics,Trojan UV,undirected,1
Pisciculture Mont-Tremblant,Université Laval,undirected,1
Fisheries and Oceans Canada,New Brunswick Research and Productivity Council,undirected,1
Fisheries and Oceans Canada,Island Sea Farms Inc.,undirected,1
New Brunswick Community College,University of Guelph,undirected,1
Fisheries and Oceans Canada,NB Department of Environment and Local Government,undirected,1
Fisheries and Oceans Canada,Plymouth Marine Laboratory,undirected,1
University of New Brunswick Fredericton,University of New Brunswick Saint John,undirected,1
Novartis,University of Prince Edward Island,undirected,1
Institut français de recherche pour l'exploitation de la mer,University of Idaho,undirected,3
"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation Québec",Ressources Aquatiques Québec ,undirected,1
Fisheries and Oceans Canada,"PEI Fisheries, Aquaculture and Rural Development",undirected,1
Havforskningsinstituttet,Universiteit Gent,undirected,2
Grieg Seafood,Microthalassia Consultants Inc.,undirected,1
Grieg Seafood,Little Wing Oysters Ltd.,undirected,1
Fisheries and Oceans Canada,Fort Folly First Nations,undirected,1
Marine Harvest Canada,Odyssey Shellfish,undirected,1
National Institute of Marine Sciences and Technologies,Université du Québec à Rimouski,undirected,1
Newfoundland Cod Broodstock Company,Sapphire Sea Farms,undirected,1
Cleanwater Shellfish Ltd.,Taylor Shellfish Canada ULC.,undirected,1
Grieg Seafood,North Island College,undirected,4
Fisheries and Oceans Canada,PEI Cultured Mussel Growers Association,undirected,1
Canada Cryogenetics Services,Cryogenetics,undirected,1
Fisheries and Oceans Canada,Vancouver Aquarium,undirected,2
Fisheries and Oceans Canada,Viking Bay Ventures,undirected,1
Northern Harvest Sea Farms,University of New Brunswick,undirected,1
University of Waterloo,University of Windsor,undirected,1
Island Telemetrics,SEA Vision Group,undirected,1
Gaspé Peninsula lead,Moule de Culture des Îles Inc.,undirected,1
University of Idaho,Université Pierre et Marie Curie,undirected,3
Culti-Mer Inc.,Pec-Nord Inc.,undirected,1
Ecoethics,Fleming College,undirected,1
Huntsman Marine Science Centre,Parks Canada,undirected,1
Measuremax,Wilfrid Laurier University,undirected,1
Institut français de recherche pour l'exploitation de la mer,University of Bergen,undirected,1
Kyuquot SEAfoods Ltd.,Taylor Shellfish Farms Canada,undirected,1
Fisheries and Oceans Canada,University of Bergen,undirected,1
Coastal Zones Research Institute,University of Idaho,undirected,1
Commonwealth Scientific and Industrial Research Organisation (Australia),University of Adelaide,undirected,1
CÉGEP de la Gaspésie et des Îles,undefined,undirected,1
Pisciculture Lac St-François,Université Laval,undirected,1
MERINOV,Université du Québec à Rimouski,undirected,3
National Institute of Marine Sciences and Technologies,Station piscicole Trois-Lacs,undirected,1
Island Scallops Ltd.,Taylor Shellfish Farms Canada,undirected,1
Chippewa Ottawa Resource Authority,Fisheries and Oceans Canada,undirected,1
Carver Marine Consulting,Fisheries and Oceans Canada,undirected,1
Queen’s University,Wilfrid Laurier University,undirected,1
Kelly Cove Salmon Ltd.,Université Laval,undirected,1
Fisheries and Oceans Canada,University of Alberta,undirected,1
